describe,evalute,introduce,movie_name,serial_number,star
,,1994/美国/犯罪剧情,肖申克的救赎,1,
,,1993/中国大陆中国香港/剧情爱情同性,霸王别姬,2,
,,1994/美国/剧情爱情,阿甘正传,3,
,,1994/法国/剧情动作犯罪,这个杀手不太冷,4,
,,1997/意大利/剧情喜剧爱情战争,美丽人生,5,
,,1997/美国/剧情爱情灾难,泰坦尼克号,6,
,,2001/日本/剧情动画奇幻,千与千寻,7,
,,1993/美国/剧情历史战争,辛德勒的名单,8,
,,2010/美国英国/剧情科幻悬疑冒险,盗梦空间,9,
,,2009/美国英国/剧情,忠犬八公的故事,10,
,,1998/意大利/剧情音乐,海上钢琴师,11,
,,1998/美国/剧情科幻,楚门的世界,12,
,,2009/印度/剧情喜剧爱情歌舞,三傻大闹宝莱坞,13,
,,2008/美国/科幻动画冒险,机器人总动员,14,
,,2004/法国瑞士德国/剧情音乐,放牛班的春天,15,
,,2014/美国英国加拿大冰岛/剧情科幻冒险,星际穿越,16,
,,1995/中国香港中国大陆/喜剧爱情奇幻古装,大话西游之大圣娶亲,17,
,,2011/韩国/剧情,熔炉,18,
,,2016/美国/喜剧动画冒险,疯狂动物城,19,
,,2002/中国香港/剧情犯罪悬疑,无间道,20,
,,1988/日本/动画奇幻冒险,龙猫,21,
,,1972/美国/剧情犯罪,教父,22,
,,2006/美国/剧情传记家庭,当幸福来敲门,23,
,,2010/美国/剧情喜剧爱情,怦然心动,24,
,,2011/法国/剧情喜剧,触不可及,25,
,,2008/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士,26,
,,1957/美国/剧情犯罪悬疑,控方证人,27,
,,1994/中国大陆中国香港/剧情历史家庭,活着,28,
,,1939/美国/剧情历史爱情战争,乱世佳人,29,
,,2017/美国/喜剧动画奇幻音乐,寻梦环游记,30,
,,1987/英国意大利中国大陆法国/剧情传记历史,末代皇帝,31,
,,2016/印度/剧情传记运动家庭,摔跤吧！爸爸,32,
,,2003/美国新西兰/剧情动作奇幻冒险,指环王3：王者无敌,33,
,,2018/黎巴嫩法国美国/剧情,何以为家,34,
,,2012/美国中国台湾英国加拿大/剧情奇幻冒险,少年派的奇幻漂流,35,
,,2009/美国/剧情喜剧动画冒险,飞屋环游记,36,
,,1957/美国/剧情,十二怒汉,37,
,,2000/中国大陆/剧情喜剧,鬼子来了,38,
,,1986/日本/动画奇幻冒险,天空之城,39,
,,2013/韩国/剧情,素媛,40,
,,2004/日本/动画奇幻冒险,哈尔的移动城堡,41,
,,1995/中国香港中国大陆/喜剧爱情奇幻古装,大话西游之月光宝盒,42,
,,1988/意大利法国/剧情爱情,天堂电影院,43,
,,1953/美国/喜剧剧情爱情,罗马假日,44,
,,1992/美国/剧情,闻香识女人,45,
,,2001/美国英国/奇幻冒险,哈利·波特与魔法石,46,
,,2013/韩国/剧情,辩护人,47,
,,2018/中国大陆/剧情喜剧,我不是药神,48,
,,1999/美国德国/剧情动作悬疑惊悚,搏击俱乐部,49,
,,1989/美国/剧情,死亡诗社,50,
,,1974/美国/剧情犯罪,教父2,51,
,,1994/美国/动画冒险歌舞,狮子王,52,
,,2002/美国新西兰/剧情动作奇幻冒险,指环王2：双塔奇兵,53,
,,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,大闹天宫,54,
,,2006/德国/剧情悬疑,窃听风暴,55,
,,2002/美国加拿大/传记犯罪剧情,猫鼠游戏,56,
,,2001/新西兰美国/剧情动作奇幻冒险,指环王1：魔戒再现,57,
,,1998/英国/剧情喜剧犯罪,两杆大烟枪,58,
,,2001/美国/传记剧情,美丽心灵,59,
,,2002/法国德国英国波兰/剧情传记历史战争音乐,钢琴家,60,
,,1994/中国台湾美国/剧情家庭,饮食男女,61,
,,1999/美国澳大利亚/动作科幻,黑客帝国,62,
,,1975/美国/剧情,飞越疯人院,63,
,,2008/美国/剧情爱情奇幻,本杰明·巴顿奇事,64,
,,2005/美国英国德国/剧情动作科幻惊悚,V字仇杀队,65,
,,2010/中国大陆中国香港/剧情喜剧动作西部,让子弹飞,66,
,,2016/西班牙/剧情犯罪悬疑惊悚,看不见的客人,67,
,,2000/意大利美国/剧情战争情色,西西里的美丽传说,68,
,,1997/伊朗/剧情儿童家庭,小鞋子,69,
,,1998/美国/剧情历史战争,拯救大兵瑞恩,70,
,,2018/美国/剧情喜剧传记,绿皮书,71,
,,2009/美国/纪录片,海豚湾,72,
,,1995/日本/剧情爱情,情书,73,
,,2008/英国美国/剧情战争,穿条纹睡衣的男孩,74,
,,2015/德国瑞士南非/剧情冒险家庭,海蒂和爷爷,75,
,,1965/美国/剧情传记爱情歌舞,音乐之声,76,
,,1984/美国意大利/犯罪剧情,美国往事,77,
,,2006/英国美国/剧情悬疑惊悚,致命魔术,78,
,,1994/美国/剧情喜剧犯罪,低俗小说,79,
,,1995/美国/剧情犯罪悬疑惊悚,七宗罪,80,
,,1991/美国/剧情犯罪惊悚,沉默的羔羊,81,
,,2004/美国加拿大/剧情悬疑科幻惊悚,蝴蝶效应,82,
,,2010/美国/剧情悬疑惊悚,禁闭岛,83,
,,1997/中国香港日本韩国/剧情爱情同性,春光乍泄,84,
,,1997/美国/剧情,心灵捕手,85,
,,2014/美国德国英国/剧情喜剧冒险,布达佩斯大饭店,86,
,,2006/日本/剧情歌舞,被嫌弃的松子的一生,87,
,,2009/美国英国/动作科幻冒险,阿凡达,88,
,,1936/美国/剧情喜剧爱情,摩登时代,89,
,,1990/美国/剧情奇幻爱情,剪刀手爱德华,90,
,,1995/美国/动作传记剧情历史战争,勇敢的心,91,
,,2001/法国德国/喜剧爱情,天使爱美丽,92,
,,1999/中国香港/喜剧剧情爱情,喜剧之王,93,
,,2003/美国/剧情悬疑惊悚,致命ID,94,
,,2003/美国/动作冒险奇幻,加勒比海盗,95,
,,2005/美国加拿大/剧情爱情同性家庭,断背山,96,
,,2011/美国英国/奇幻冒险,哈利·波特与死亡圣器(下),97,
,,2003/韩国/剧情动作犯罪悬疑惊悚,杀人回忆,98,
,,2012/丹麦瑞典/剧情,狩猎,99,
,,2017/意大利法国巴西美国荷兰德国/剧情爱情同性,请以你的名字呼唤我,100,
,,1997/日本/动画奇幻冒险,幽灵公主,101,
,,1994/中国大陆中国香港/剧情爱情,阳光灿烂的日子,102,
,,2014/日本/剧情,小森林 夏秋篇,103,
,,1994/中国香港/剧情爱情,重庆森林,104,
,,2008/日本/剧情,入殓师,105,
,,1999/美国/剧情悬疑惊悚,第六感,106,
,,2013/韩国/剧情喜剧家庭,7号房的礼物,107,
,,2006/日本/动画悬疑科幻惊悚,红辣椒,108,
,,2014/美国/剧情犯罪悬疑惊悚,消失的爱人,109,
,,2015/日本/剧情,小森林 冬春篇,110,
,,1995/美国奥地利瑞士/剧情爱情,爱在黎明破晓前,111,
,,2000/中国台湾日本/剧情爱情家庭,一一,112,
,,1995/日本/剧情爱情动画,侧耳倾听,113,
,,1993/中国香港/喜剧爱情古装,唐伯虎点秋香,114,
,,2011/美国/剧情,超脱,115,
,,2009/澳大利亚/剧情喜剧动画,玛丽和马克思,116,
,,1987/中国香港/爱情奇幻武侠古装,倩女幽魂,117,
,,2012/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士崛起,118,
,,2010/日本/剧情惊悚,告白,119,
,,2003/美国/剧情家庭奇幻冒险,大鱼,120,
,,1996/中国香港/剧情爱情,甜蜜蜜,121,
,,2011/韩国/剧情喜剧,阳光姐妹淘,122,
,,2004/日本/剧情,无人知晓,123,
,,2011/日本/剧情爱情动画奇幻,萤火之森,124,
,,1993/中国香港/喜剧奇幻武侠古装,射雕英雄传之东成西就,125,
,,2010/美国/动画奇幻冒险,驯龙高手,126,
,,2014/美国/喜剧动作科幻动画冒险,超能陆战队,127,
,,2004/美国/喜剧剧情爱情,幸福终点站,128,
,,2010/日本/动画奇幻冒险,借东西的小人阿莉埃蒂,129,
,,1999/日本/剧情喜剧,菊次郎的夏天,130,
,,2004/美国法国/剧情爱情,爱在日落黄昏时,131,
,,2013/韩国/剧情犯罪悬疑,恐怖直播,132,
,,1993/美国/剧情犯罪,完美的世界,133,
,,2010/美国法国/喜剧动画冒险,神偷奶爸,134,
,,2001/美国/儿童喜剧动画奇幻冒险,怪兽电力公司,135,
,,2004/中国大陆中国香港/动作喜剧犯罪奇幻,功夫,136,
,,2017/日本/纪录片,人生果实,137,
,,2010/美国/喜剧动画奇幻冒险,玩具总动员3,138,
,,2016/美国澳大利亚/剧情传记历史战争,血战钢锯岭,139,
,,2005/法国英国美国/剧情爱情,傲慢与偏见,140,
,,1984/日本/动画奇幻冒险,风之谷,141,
,,2013/英国/喜剧爱情奇幻,时空恋旅人,142,
,,1983(中国大陆)/中国大陆/动画奇幻,天书奇谭,143,
,,1990/美国/剧情犯罪,教父3,144,
,,2002/巴西法国/犯罪剧情,上帝之城,145,
,,2004/美国/悬疑惊悚恐怖,电锯惊魂,146,
,,1993/中国台湾美国/剧情喜剧爱情同性家庭,喜宴,147,
,,2012/美国/剧情动作西部冒险,被解救的姜戈,148,
,,1986/中国香港/剧情动作犯罪,英雄本色,149,
,,1954/日本/动作冒险剧情,七武士,150,
,,1979/中国大陆/冒险动画奇幻,哪吒闹海,151,
,,2007/美国德国/动作悬疑惊悚,谍影重重3,152,
,,2010/中国香港中国大陆/剧情家庭,岁月神偷,153,
,,2001/美国/剧情家庭,我是山姆,154,
,,2016/韩国/动作惊悚灾难,釜山行,155,
,,2018/美国/动作科幻冒险,头号玩家,156,
,,1991/中国香港/剧情喜剧动作犯罪,纵横四海,157,
,,2013/美国/喜剧动画冒险,疯狂原始人,158,
,,2017/美国英国/剧情犯罪,三块广告牌,159,
,,2014/中国大陆/剧情犯罪悬疑,心迷宫,160,
,,2004/英国美国/奇幻冒险,哈利·波特与阿兹卡班的囚徒,161,
,,2013/美国/剧情传记同性,达拉斯买家俱乐部,162,
,,1988/日本/动画剧情战争,萤火虫之墓,163,
,,2014/阿根廷西班牙/剧情喜剧犯罪,荒蛮故事,164,
,,2004/英国南非意大利/剧情历史战争,卢旺达饭店,165,
,,2003/英国美国法国/喜剧剧情爱情,真爱至上,166,
,,2008/英国法国美国印度/剧情爱情,贫民窟的百万富翁,167,
,,1994/中国香港中国台湾/剧情动作爱情武侠古装,东邪西毒,168,
,,2016/日本/剧情爱情动画,你的名字。,169,
,,2000/美国/犯罪剧情悬疑惊悚,记忆碎片,170,
,,2000/中国香港/剧情爱情,花样年华,171,
,,2014/美国/剧情音乐,爆裂鼓手,172,
,,2010/美国/剧情惊悚,黑天鹅,173,
,,2015/瑞典/剧情,一个叫欧维的男人决定去死,174,
,,1987/日本/剧情,忠犬八公物语,175,
,,2003/美国澳大利亚/动作科幻,黑客帝国3：矩阵革命,176,
,,2014/英国美国/剧情传记战争同性,模仿游戏,177,
,,2002/美国英国德国/奇幻冒险,哈利·波特与密室,178,
,,2015/美国/喜剧动画冒险,头脑特工队,179,
,,2010/日本/剧情动画儿童,你看起来好像很好吃,180,
,,1997/日本/动画奇幻惊悚,未麻的部屋,181,
,,1988/美国/剧情,雨人,182,
,,2013/韩国/剧情犯罪,新世界,183,
,,2012/美国/喜剧动画奇幻冒险,无敌破坏王,184,
,,2015/日本/剧情家庭,海街日记,185,
,,2002/美国/喜剧动画冒险,冰川时代,186,
,,2004/美国/剧情爱情,恋恋笔记本,187,
,,1960/美国/悬疑惊悚恐怖,惊魂记,188,
,,2016/美国/剧情家庭,海边的曼彻斯特,189,
,,2015/中国大陆/纪录片,二十二,190,
,,2015/爱尔兰加拿大英国美国/剧情家庭,房间,191,
,,2009/英国澳大利亚/剧情悬疑惊悚,恐怖游轮,192,
,,1966/法国英国/喜剧战争,虎口脱险,193,
,,1989/日本/动画奇幻冒险,魔女宅急便,194,
,,2017/美国中国香港/剧情儿童家庭,奇迹男孩,195,
,,2001/美国/剧情科幻,人工智能,196,
,,2006/中国大陆中国香港/喜剧犯罪,疯狂的石头,197,
,,1952/美国/喜剧歌舞爱情,雨中曲,198,
,,1999/美国/犯罪剧情奇幻悬疑,绿里奇迹,199,
,,2018/日本/剧情犯罪家庭,小偷家族,200,
,,2013/美国希腊/剧情爱情,爱在午夜降临前,201,
,,1950/日本/剧情犯罪悬疑,罗生门,202,
,,1991/美国法国/动作科幻,终结者2：审判日,203,
,,2010/泰国/剧情喜剧爱情,初恋这件小事,204,
,,2009/法国瑞士西班牙美国阿联酋/纪录片,海洋,205,
,,1940/美国/剧情爱情战争,魂断蓝桥,206,
,,2004/中国大陆中国香港/剧情犯罪,可可西里,207,
,,1994/美国/剧情爱情战争西部,燃情岁月,208,
,,1968/英国美国/科幻惊悚冒险,2001太空漫游,209,
,,2006/日本/剧情爱情科幻动画,穿越时空的少女,210,
,,1931/美国/喜剧剧情爱情,城市之光,211,
,,1991/中国台湾/剧情犯罪,牯岭街少年杀人事件,212,
,,1992/中国香港中国大陆/动作爱情武侠古装,新龙门客栈,213,
,,2009/德国美国/剧情犯罪,无耻混蛋,214,
,,2016/意大利/剧情喜剧,完美陌生人,215,
,,2011/美国加拿大/科幻悬疑惊悚,源代码,216,
,,2007/中国台湾中国大陆美国中国香港/剧情爱情情色,色，戒,217,
,,1990/中国香港/犯罪剧情爱情,阿飞正传,218,
,,1993/中国香港中国大陆/剧情爱情奇幻古装,青蛇,219,
,,2006/德国法国西班牙美国/剧情犯罪奇幻,香水,220,
,,2007/美国/冒险喜剧剧情,遗愿清单,221,
,,2004/美国德国/动作悬疑惊悚,谍影重重2,222,
,,2006/美国德国/剧情惊悚冒险,血钻,223,
,,2007/印度/剧情儿童家庭,地球上的星星,224,
,,2017/中国台湾/剧情喜剧,大佛普拉斯,225,
,,2005/美国法国/剧情犯罪,战争之王,226,
,,2002/美国德国捷克/动作悬疑惊悚,谍影重重,227,
,,2015/澳大利亚美国/动作科幻冒险,疯狂的麦克斯4：狂暴之路,228,
,,2008/日本/剧情家庭,步履不停,229,
,,2013/美国英国/科幻悬疑惊悚,彗星来的那一夜,230,
,,1996/英国/剧情犯罪,猜火车,231,
,,2008/美国德国/剧情爱情,朗读者,232,
,,2008/德国/剧情惊悚,浪潮,233,
,,1994/中国香港/剧情喜剧古装,九品芝麻官,234,
,,2015/印度/剧情喜剧动作,小萝莉的猴神大叔,235,
,,2005/英国美国/奇幻冒险,哈利·波特与火焰杯,236,
,,2013/美国/喜剧爱情音乐,再次出发之纽约遇见你,237,
,,1953/日本/剧情家庭,东京物语,238,
,,2015/美国/剧情传记,聚焦,239,
,,2016/中国大陆/剧情喜剧,驴得水,240,
,,1998/英国/犯罪悬疑惊悚,追随,241,
,,1997/美国/剧情科幻惊悚,千钧一发,242,
,,2011/伊朗法国/剧情家庭,一次别离,243,
,,2018/英国美国/剧情传记同性音乐,波西米亚狂想曲,244,
,,2011/韩国/剧情爱情,我爱你,245,
,,2001/美国/动作历史战争,黑鹰坠落,246,
,,2018/美国俄罗斯/剧情犯罪悬疑惊悚,网络谜踪,247,
,,2017/中国大陆/纪录片家庭,四个春天,248,
,,1971/英国美国/犯罪剧情科幻,发条橙,249,
,,2003/美国澳大利亚/动作科幻,黑客帝国2：重装上阵,250,
describe,evalute,introduce,movie_name,serial_number,star
,,1994/美国/犯罪剧情,肖申克的救赎,1,
,,1993/中国大陆中国香港/剧情爱情同性,霸王别姬,2,
,,1994/美国/剧情爱情,阿甘正传,3,
,,1994/法国/剧情动作犯罪,这个杀手不太冷,4,
,,1997/意大利/剧情喜剧爱情战争,美丽人生,5,
,,1997/美国/剧情爱情灾难,泰坦尼克号,6,
,,2001/日本/剧情动画奇幻,千与千寻,7,
,,1993/美国/剧情历史战争,辛德勒的名单,8,
,,2010/美国英国/剧情科幻悬疑冒险,盗梦空间,9,
,,2009/美国英国/剧情,忠犬八公的故事,10,
,,1998/意大利/剧情音乐,海上钢琴师,11,
,,1998/美国/剧情科幻,楚门的世界,12,
,,2009/印度/剧情喜剧爱情歌舞,三傻大闹宝莱坞,13,
,,2008/美国/科幻动画冒险,机器人总动员,14,
,,2004/法国瑞士德国/剧情音乐,放牛班的春天,15,
,,2014/美国英国加拿大冰岛/剧情科幻冒险,星际穿越,16,
,,1995/中国香港中国大陆/喜剧爱情奇幻古装,大话西游之大圣娶亲,17,
,,2011/韩国/剧情,熔炉,18,
,,2016/美国/喜剧动画冒险,疯狂动物城,19,
,,2002/中国香港/剧情犯罪悬疑,无间道,20,
,,1988/日本/动画奇幻冒险,龙猫,21,
,,1972/美国/剧情犯罪,教父,22,
,,2006/美国/剧情传记家庭,当幸福来敲门,23,
,,2010/美国/剧情喜剧爱情,怦然心动,24,
,,2011/法国/剧情喜剧,触不可及,25,
,,2008/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士,26,
,,1957/美国/剧情犯罪悬疑,控方证人,27,
,,1994/中国大陆中国香港/剧情历史家庭,活着,28,
,,1939/美国/剧情历史爱情战争,乱世佳人,29,
,,2017/美国/喜剧动画奇幻音乐,寻梦环游记,30,
,,1987/英国意大利中国大陆法国/剧情传记历史,末代皇帝,31,
,,2016/印度/剧情传记运动家庭,摔跤吧！爸爸,32,
,,2003/美国新西兰/剧情动作奇幻冒险,指环王3：王者无敌,33,
